role_name,permission,default_granted
Group Pastor,finance.entries.update,FALSE
Group Pastor,finance.lookups.manage,FALSE
Group Pastor,finance.verify,FALSE
Group Pastor,registry.admin_notes.create,FALSE
Group Pastor,registry.admin_notes.delete,FALSE
Group Pastor,registry.admin_notes.read,FALSE
Group Pastor,registry.admin_notes.update,FALSE
Group Pastor,registry.attendance.create,FALSE
Group Pastor,registry.attendance.delete,FALSE
Group Pastor,registry.attendance.export,FALSE
Group Pastor,registry.attendance.read,TRUE
Group Pastor,registry.attendance.update,FALSE
Group Pastor,registry.cells.assign,FALSE
Group Pastor,registry.departments.create,FALSE
Group Pastor,registry.departments.delete,FALSE
Group Pastor,registry.departments.read,TRUE
Group Pastor,registry.departments.update,FALSE
Group Pastor,registry.firsttimers.create,FALSE
Group Pastor,registry.firsttimers.delete,FALSE
Group Pastor,registry.firsttimers.export,FALSE
Group Pastor,registry.firsttimers.read,TRUE
Group Pastor,registry.firsttimers.update,FALSE
Group Pastor,registry.people.create,FALSE
Group Pastor,registry.people.delete,FALSE
Group Pastor,registry.people.export,FALSE
Group Pastor,registry.people.merge,FALSE
Group Pastor,registry.people.read,TRUE
Group Pastor,registry.people.update,FALSE
Group Pastor,reports.export,TRUE
Group Pastor,reports.schedule,FALSE
Group Pastor,reports.view,TRUE
Group Pastor,system.audit.view,FALSE
Group Pastor,system.exports.full_pii,FALSE
Group Pastor,system.roles.assign,TRUE
Group Pastor,system.scopes.assign,TRUE
Group Pastor,system.settings.manage,FALSE
Group Pastor,system.users.create,TRUE
Church Administrator,cells.manage,FALSE
Church Administrator,cells.reports.approve,FALSE
Church Administrator,cells.reports.create,FALSE
Church Administrator,cells.reports.delete,FALSE
Church Administrator,cells.reports.export,FALSE
Church Administrator,cells.reports.read,FALSE
Church Administrator,cells.reports.update,FALSE
Church Administrator,finance.batches.create,FALSE
Church Administrator,finance.batches.delete,FALSE
Church Administrator,finance.batches.lock,FALSE
Church Administrator,finance.batches.read,FALSE
Church Administrator,finance.batches.unlock,FALSE
Church Administrator,finance.batches.update,FALSE
Church Administrator,finance.entries.create,FALSE
Church Administrator,finance.entries.delete,FALSE
Church Administrator,finance.entries.export,FALSE
Church Administrator,finance.entries.read,FALSE
Church Administrator,finance.entries.update,FALSE
Church Administrator,finance.lookups.manage,FALSE
Church Administrator,finance.verify,FALSE
Church Administrator,registry.admin_notes.create,FALSE
Church Administrator,registry.admin_notes.delete,FALSE
Church Administrator,registry.admin_notes.read,FALSE
Church Administrator,registry.admin_notes.update,FALSE
Church Administrator,registry.attendance.create,TRUE
Church Administrator,registry.attendance.delete,FALSE
Church Administrator,registry.attendance.export,FALSE
Church Administrator,registry.attendance.read,TRUE
Church Administrator,registry.attendance.update,TRUE
Church Administrator,registry.cells.assign,FALSE
Church Administrator,registry.departments.create,TRUE
Church Administrator,registry.departments.delete,FALSE
Church Administrator,registry.departments.read,TRUE
Church Administrator,registry.departments.update,TRUE
Church Administrator,registry.firsttimers.create,TRUE
Church Administrator,registry.firsttimers.delete,FALSE
Church Administrator,registry.firsttimers.export,FALSE
Church Administrator,registry.firsttimers.read,TRUE
Church Administrator,registry.firsttimers.update,TRUE
Church Administrator,registry.people.create,TRUE
Church Administrator,registry.people.delete,FALSE
Church Administrator,registry.people.export,FALSE
Church Administrator,registry.people.merge,FALSE
Church Administrator,registry.people.read,TRUE
Church Administrator,registry.people.update,TRUE
Church Administrator,reports.export,FALSE
Church Administrator,reports.schedule,FALSE
Church Administrator,reports.view,FALSE
Church Administrator,system.audit.view,FALSE
Church Administrator,system.exports.full_pii,FALSE
Church Administrator,system.roles.assign,FALSE
Church Administrator,system.scopes.assign,FALSE
Church Administrator,system.settings.manage,FALSE
Church Administrator,system.users.create,FALSE
Reports Viewer (Pastoral),cells.manage,FALSE
Reports Viewer (Pastoral),cells.reports.approve,FALSE
Reports Viewer (Pastoral),cells.reports.create,FALSE
Reports Viewer (Pastoral),cells.reports.delete,FALSE
Reports Viewer (Pastoral),cells.reports.export,FALSE
Reports Viewer (Pastoral),cells.reports.read,FALSE
Reports Viewer (Pastoral),cells.reports.update,FALSE
Reports Viewer (Pastoral),finance.batches.create,FALSE
Reports Viewer (Pastoral),finance.batches.delete,FALSE
Reports Viewer (Pastoral),finance.batches.lock,FALSE
Reports Viewer (Pastoral),finance.batches.read,FALSE
Reports Viewer (Pastoral),finance.batches.unlock,FALSE
Reports Viewer (Pastoral),finance.batches.update,FALSE
Reports Viewer (Pastoral),finance.entries.create,FALSE
Reports Viewer (Pastoral),finance.entries.delete,FALSE
Reports Viewer (Pastoral),finance.entries.export,FALSE
Reports Viewer (Pastoral),finance.entries.read,FALSE
Reports Viewer (Pastoral),finance.entries.update,FALSE
Reports Viewer (Pastoral),finance.lookups.manage,FALSE
Reports Viewer (Pastoral),finance.verify,FALSE
Reports Viewer (Pastoral),registry.admin_notes.create,FALSE
Reports Viewer (Pastoral),registry.admin_notes.delete,FALSE
Reports Viewer (Pastoral),registry.admin_notes.read,FALSE
Reports Viewer (Pastoral),registry.admin_notes.update,FALSE
Reports Viewer (Pastoral),registry.attendance.create,FALSE
Reports Viewer (Pastoral),registry.attendance.delete,FALSE
Reports Viewer (Pastoral),registry.attendance.export,FALSE
Reports Viewer (Pastoral),registry.attendance.read,FALSE
Reports Viewer (Pastoral),registry.attendance.update,FALSE
Reports Viewer (Pastoral),registry.cells.assign,FALSE
Reports Viewer (Pastoral),registry.departments.create,FALSE
Reports Viewer (Pastoral),registry.departments.delete,FALSE
Reports Viewer (Pastoral),registry.departments.read,FALSE
Reports Viewer (Pastoral),registry.departments.update,FALSE
Reports Viewer (Pastoral),registry.firsttimers.create,FALSE
Reports Viewer (Pastoral),registry.firsttimers.delete,FALSE
Reports Viewer (Pastoral),registry.firsttimers.export,FALSE
